#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
23426	59269	7186	121861	113038	-	-	HIVEP3	TRAF2	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Oukka M (2002)	11804591	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
23431	10293	7186	115581	113038	-	-	TRAIP	TRAF2	RNF206|TRIP	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Lee SY (1997)	9104814	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
119426	7186	83461	113038	123657	-	-	TRAF2	CDCA3	MGC:45012|TRAP|TRAP3	GRCC8|TOME-1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119448	7186	84498	113038	124101	-	-	TRAF2	FAM120B	MGC:45012|TRAP|TRAP3	CCPG|KIAA1838|PGCC1|dJ894D12.1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119451	7186	7597	113038	113422	-	-	TRAF2	ZBTB25	MGC:45012|TRAP|TRAP3	C14orf51|KUP|ZNF46	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119477	7186	23219	113038	116826	-	-	TRAF2	FBXO28	MGC:45012|TRAP|TRAP3	CENP-30|Fbx28	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119603	5300	7186	111317	113038	-	-	PIN1	TRAF2	DOD|UBL5	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119653	7186	54532	113038	120020	-	-	TRAF2	USP53	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119697	7186	55707	113038	120832	-	-	TRAF2	NECAP2	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119700	5991	7186	111923	113038	RP11-32F11.1	-	RFX3	TRAF2	-	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119804	7186	27301	113038	118124	-	RP5-884M20.3	TRAF2	APEX2	MGC:45012|TRAP|TRAP3	APE2|APEXL2|XTH2|ZGRF2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119843	7186	7704	113038	113498	-	-	TRAF2	ZBTB16	MGC:45012|TRAP|TRAP3	PLZF|ZNF145	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119850	7186	9513	113038	114890	-	-	TRAF2	FXR2	MGC:45012|TRAP|TRAP3	FMR1L2|FXR2P	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119858	7186	51224	113038	119388	-	-	TRAF2	TCEB3B	MGC:45012|TRAP|TRAP3	ELOA2|HsT832|TCEB3L	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119874	7186	9825	113038	115163	-	-	TRAF2	SPATA2	MGC:45012|TRAP|TRAP3	PD1|PPP1R145|tamo	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119897	7186	170082	113038	127996	-	-	TRAF2	TCEANC	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119966	7186	9491	113038	114872	-	RP4-545L17.1	TRAF2	PSMF1	MGC:45012|TRAP|TRAP3	PI31	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119980	7186	84080	113038	123875	-	UNQ6410	TRAF2	ENKD1	MGC:45012|TRAP|TRAP3	C16orf48|DAKV6410	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119988	7186	51324	113038	119474	-	BM-019	TRAF2	SPG21	MGC:45012|TRAP|TRAP3	ACP33|GL010|MAST	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120007	7186	54971	113038	120308	-	-	TRAF2	BANP	MGC:45012|TRAP|TRAP3	BEND1|SMAR1|SMARBP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120022	7186	10758	113038	115979	-	RP3-487J7.3	TRAF2	TRAF3IP2	MGC:45012|TRAP|TRAP3	ACT1|C6orf2|C6orf4|C6orf5|C6orf6|CANDF8|CIKS|PSORS13	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120029	7186	60491	113038	121922	-	MDS015	TRAF2	NIF3L1	MGC:45012|TRAP|TRAP3	ALS2CR1|CALS-7	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120064	7186	9729	113038	115078	-	RP3-403A15.2	TRAF2	KIAA0408	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120078	7186	11063	113038	116247	-	-	TRAF2	SOX30	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120108	7186	84708	113038	124219	-	UNQ574/PRO1136	TRAF2	LNX1	MGC:45012|TRAP|TRAP3	LNX|MPDZ|PDZRN2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120133	7186	27125	113038	118016	-	HSPC092	TRAF2	AFF4	MGC:45012|TRAP|TRAP3	AF5Q31|MCEF	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120165	7186	9726	113038	115075	-	-	TRAF2	ZNF646	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120178	3983	7186	110171	113038	RP11-317F20.1	-	ABLIM1	TRAF2	ABLIM|LIMAB1|LIMATIN|abLIM-1	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120233	7186	91544	113038	124844	-	PP2243	TRAF2	UBXN11	MGC:45012|TRAP|TRAP3	COA-1|SOC|SOCI|UBXD5	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120313	1838	7186	108171	113038	-	-	DTNB	TRAF2	-	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120357	5859	7186	111797	113038	-	-	QARS	TRAF2	GLNRS|MSCCA|PRO2195	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120387	7186	60496	113038	121927	-	CGI-80	TRAF2	AASDHPPT	MGC:45012|TRAP|TRAP3	AASD-PPT|LYS2|LYS5	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120440	7186	80764	113038	123298	-	-	TRAF2	THAP7	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120478	7186	80125	113038	123126	-	-	TRAF2	CCDC33	MGC:45012|TRAP|TRAP3	CT61	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120526	7186	83707	113038	123736	-	-	TRAF2	TRPT1	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120532	7186	23099	113038	116727	-	RP11-489N22.2	TRAF2	ZBTB43	MGC:45012|TRAP|TRAP3	ZBTB22B|ZNF-X|ZNF297B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120556	7186	10253	113038	115547	-	-	TRAF2	SPRY2	MGC:45012|TRAP|TRAP3	hSPRY2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120562	7186	26060	113038	117522	-	-	TRAF2	APPL1	MGC:45012|TRAP|TRAP3	APPL|DIP13alpha	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120569	7186	26003	113038	117479	-	-	TRAF2	GORASP2	MGC:45012|TRAP|TRAP3	GOLPH6|GRASP55|GRS2|p59	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
